nid,direct_ironic,friendly_hostile,proportionate_hyperbolic,octant
51_1,1,0,1,direct+friendly+proportionate
51_6,-1,0,1,ironic+friendly+proportionate
51_33,-1,0,-1,ironic+friendly+hyperbolic
51_45,1,0,1,direct+friendly+proportionate
51_52,1,0,1,direct+friendly+proportionate
51_58,-1,0,-1,ironic+friendly+hyperbolic
51_68,1,0,1,direct+friendly+proportionate
51_69,-1,-1,1,ironic+hostile+proportionate
51_74,1,0,1,direct+friendly+proportionate
51_87,1,0,1,direct+friendly+proportionate
51_88,1,0,-1,direct+friendly+hyperbolic
51_93,1,0,-1,direct+friendly+hyperbolic
51_96,1,0,1,direct+friendly+proportionate
51_102,1,-1,1,direct+hostile+proportionate
51_122,-1,0,1,ironic+friendly+proportionate
51_123,1,0,1,direct+friendly+proportionate
51_124,1,0,1,direct+friendly+proportionate
51_136,1,0,1,direct+friendly+proportionate
51_164,1,0,1,direct+friendly+proportionate
51_170,-1,0,-1,ironic+friendly+hyperbolic
51_173,-1,0,-1,ironic+friendly+hyperbolic
51_177,1,-1,-1,direct+hostile+hyperbolic
51_185,1,0,1,direct+friendly+proportionate
51_216,1,0,1,direct+friendly+proportionate
51_241,-1,0,1,ironic+friendly+proportionate
51_242,1,0,-1,direct+friendly+hyperbolic
51_243,1,0,-1,direct+friendly+hyperbolic
51_246,1,-1,1,direct+hostile+proportionate
51_249,1,0,1,direct+friendly+proportionate
51_260,-1,1,-1,ironic+friendly+hyperbolic
51_271,-1,0,1,ironic+friendly+proportionate
51_311,1,0,1,direct+friendly+proportionate
51_317,-1,0,-1,ironic+friendly+hyperbolic
52_3,1,0,1,direct+friendly+proportionate
52_15,1,0,1,direct+friendly+proportionate
52_65,1,-1,1,direct+hostile+proportionate
52_74,1,0,1,direct+friendly+proportionate
52_103,-1,0,-1,ironic+friendly+hyperbolic
52_130,1,0,1,direct+friendly+proportionate
52_172,1,0,1,direct+friendly+proportionate
52_173,1,0,1,direct+friendly+proportionate
52_199,1,0,1,direct+friendly+proportionate
52_264,-1,0,-1,ironic+friendly+hyperbolic
52_265,1,0,1,direct+friendly+proportionate
52_282,-1,0,-1,ironic+friendly+hyperbolic
52_291,-1,0,-1,ironic+friendly+hyperbolic
52_302,-1,0,-1,ironic+friendly+hyperbolic
52_314,1,0,1,direct+friendly+proportionate
52_321,-1,0,1,ironic+friendly+proportionate
52_343,1,0,1,direct+friendly+proportionate
53_23,-1,0,1,ironic+friendly+proportionate
71_34,-1,0,1,ironic+friendly+proportionate
61_178,1,0,1,direct+friendly+proportionate
76_234,1,0,1,direct+friendly+proportionate
53_144,1,0,1,direct+friendly+proportionate
79_137,1,0,-1,direct+friendly+hyperbolic
75_266,1,0,1,direct+friendly+proportionate
79_123,1,0,1,direct+friendly+proportionate
66_114,1,-1,-1,direct+hostile+hyperbolic
61_229,1,0,1,direct+friendly+proportionate
68_113,1,0,1,direct+friendly+proportionate
60_229,1,0,-1,direct+friendly+hyperbolic
78_124,1,0,1,direct+friendly+proportionate
77_160,1,0,-1,direct+friendly+hyperbolic
61_105,1,0,1,direct+friendly+proportionate
68_345,1,1,1,direct+friendly+proportionate
79_261,1,0,1,direct+friendly+proportionate
56_373,1,1,1,direct+friendly+proportionate
69_315,1,0,1,direct+friendly+proportionate
75_66,1,0,1,direct+friendly+proportionate
53_352,1,0,1,direct+friendly+proportionate
63_55,1,0,-1,direct+friendly+hyperbolic
64_83,1,0,1,direct+friendly+proportionate
77_82,1,0,-1,direct+friendly+hyperbolic
57_53,1,0,1,direct+friendly+proportionate
65_214,1,0,1,direct+friendly+proportionate
70_69,1,1,1,direct+friendly+proportionate
74_78,1,0,1,direct+friendly+proportionate
63_181,1,0,1,direct+friendly+proportionate
68_204,1,0,1,direct+friendly+proportionate
71_281,1,0,1,direct+friendly+proportionate
62_20,1,0,1,direct+friendly+proportionate
63_283,1,0,-1,direct+friendly+hyperbolic
78_38,1,0,-1,direct+friendly+hyperbolic
76_192,1,1,-1,direct+friendly+hyperbolic
65_247,1,0,1,direct+friendly+proportionate
75_295,1,0,1,direct+friendly+proportionate
54_234,1,0,1,direct+friendly+proportionate
56_8,-1,0,-1,ironic+friendly+hyperbolic
75_32,1,0,1,direct+friendly+proportionate
54_179,1,-1,1,direct+hostile+proportionate
72_159,1,0,1,direct+friendly+proportionate
54_255,1,0,1,direct+friendly+proportionate
72_298,1,0,1,direct+friendly+proportionate
67_256,1,0,1,direct+friendly+proportionate
79_269,1,0,1,direct+friendly+proportionate
64_203,1,0,1,direct+friendly+proportionate
57_272,1,0,1,direct+friendly+proportionate
55_109,1,0,1,direct+friendly+proportionate
80_222,-1,0,-1,ironic+friendly+hyperbolic
53_77,1,0,-1,direct+friendly+hyperbolic
69_380,1,0,1,direct+friendly+proportionate
68_318,1,0,1,direct+friendly+proportionate
69_331,-1,0,1,ironic+friendly+proportionate
60_122,1,0,1,direct+friendly+proportionate
77_16,1,1,-1,direct+friendly+hyperbolic
74_75,1,0,1,direct+friendly+proportionate
64_66,1,1,1,direct+friendly+proportionate
80_323,1,0,1,direct+friendly+proportionate
78_119,1,0,1,direct+friendly+proportionate
80_2,-1,0,-1,ironic+friendly+hyperbolic
74_121,1,0,1,direct+friendly+proportionate
72_272,1,0,-1,direct+friendly+hyperbolic
54_102,1,0,1,direct+friendly+proportionate
70_346,-1,0,-1,ironic+friendly+hyperbolic
60_166,1,0,1,direct+friendly+proportionate
77_97,1,0,1,direct+friendly+proportionate
76_220,1,-1,1,direct+hostile+proportionate
62_176,1,0,1,direct+friendly+proportionate
80_313,1,0,1,direct+friendly+proportionate
61_174,1,0,1,direct+friendly+proportionate
59_5,1,0,1,direct+friendly+proportionate
78_43,1,1,-1,direct+friendly+hyperbolic
57_44,1,0,1,direct+friendly+proportionate
56_249,-1,0,-1,ironic+friendly+hyperbolic
76_249,1,0,1,direct+friendly+proportionate
53_215,1,0,1,direct+friendly+proportionate
80_32,1,0,1,direct+friendly+proportionate
77_358,1,0,1,direct+friendly+proportionate
61_147,1,0,1,direct+friendly+proportionate
63_360,1,0,-1,direct+friendly+hyperbolic
76_295,1,0,1,direct+friendly+proportionate
69_50,-1,0,1,ironic+friendly+proportionate
80_134,1,0,1,direct+friendly+proportionate
69_111,1,0,1,direct+friendly+proportionate
79_302,1,0,1,direct+friendly+proportionate
58_199,-1,0,1,ironic+friendly+proportionate
79_290,1,0,1,direct+friendly+proportionate
65_109,1,0,1,direct+friendly+proportionate
78_266,-1,0,1,ironic+friendly+proportionate
72_116,1,1,-1,direct+friendly+hyperbolic
67_178,1,-1,1,direct+hostile+proportionate
58_72,1,0,1,direct+friendly+proportionate
80_330,1,1,1,direct+friendly+proportionate
70_82,1,1,1,direct+friendly+proportionate
77_211,1,0,1,direct+friendly+proportionate
74_64,1,0,1,direct+friendly+proportionate
77_201,1,0,1,direct+friendly+proportionate
76_298,1,0,1,direct+friendly+proportionate
69_147,1,0,1,direct+friendly+proportionate
68_123,-1,1,-1,ironic+friendly+hyperbolic
63_74,-1,0,-1,ironic+friendly+hyperbolic
62_136,1,0,1,direct+friendly+proportionate
65_262,1,1,1,direct+friendly+proportionate
64_333,1,0,1,direct+friendly+proportionate
73_199,1,0,1,direct+friendly+proportionate
76_59,1,0,1,direct+friendly+proportionate
65_373,1,1,1,direct+friendly+proportionate
61_45,1,0,1,direct+friendly+proportionate
65_325,1,0,1,direct+friendly+proportionate
80_297,1,0,1,direct+friendly+proportionate
63_238,1,1,1,direct+friendly+proportionate
55_14,1,0,1,direct+friendly+proportionate
73_93,1,0,-1,direct+friendly+hyperbolic
78_276,1,0,1,direct+friendly+proportionate
56_225,-1,0,-1,ironic+friendly+hyperbolic
78_114,1,0,1,direct+friendly+proportionate
65_20,-1,0,-1,ironic+friendly+hyperbolic
55_310,1,0,1,direct+friendly+proportionate
69_130,-1,1,-1,ironic+friendly+hyperbolic
75_11,1,1,1,direct+friendly+proportionate
71_51,1,0,1,direct+friendly+proportionate
61_283,1,0,1,direct+friendly+proportionate
55_191,1,0,1,direct+friendly+proportionate
73_241,1,0,1,direct+friendly+proportionate
77_111,1,0,-1,direct+friendly+hyperbolic
61_92,1,0,1,direct+friendly+proportionate
63_329,1,0,-1,direct+friendly+hyperbolic
71_274,-1,1,-1,ironic+friendly+hyperbolic
76_199,1,0,1,direct+friendly+proportionate
74_129,-1,0,-1,ironic+friendly+hyperbolic
53_183,1,0,1,direct+friendly+proportionate
69_393,1,1,1,direct+friendly+proportionate
79_43,1,0,-1,direct+friendly+hyperbolic
62_347,1,0,1,direct+friendly+proportionate
59_232,1,0,-1,direct+friendly+hyperbolic
70_218,1,0,1,direct+friendly+proportionate
75_271,1,0,1,direct+friendly+proportionate
66_127,1,0,-1,direct+friendly+hyperbolic
69_175,-1,1,-1,ironic+friendly+hyperbolic
68_49,1,0,1,direct+friendly+proportionate
66_40,1,0,-1,direct+friendly+hyperbolic
74_311,-1,0,-1,ironic+friendly+hyperbolic
67_100,1,0,1,direct+friendly+proportionate
70_138,1,1,1,direct+friendly+proportionate
64_290,-1,0,1,ironic+friendly+proportionate
58_83,1,0,1,direct+friendly+proportionate
57_265,1,0,1,direct+friendly+proportionate
57_39,1,0,1,direct+friendly+proportionate
78_39,1,0,-1,direct+friendly+hyperbolic
78_152,-1,0,1,ironic+friendly+proportionate
59_205,1,0,1,direct+friendly+proportionate
68_321,1,0,1,direct+friendly+proportionate
65_66,1,0,-1,direct+friendly+hyperbolic
62_78,-1,0,1,ironic+friendly+proportionate
80_176,1,0,1,direct+friendly+proportionate
74_185,1,-1,1,direct+hostile+proportionate
77_73,-1,0,1,ironic+friendly+proportionate
65_368,-1,0,-1,ironic+friendly+hyperbolic
78_97,1,0,1,direct+friendly+proportionate
73_28,-1,0,-1,ironic+friendly+hyperbolic
77_141,1,0,-1,direct+friendly+hyperbolic
62_284,1,0,1,direct+friendly+proportionate
77_209,1,1,1,direct+friendly+proportionate
79_51,1,0,1,direct+friendly+proportionate
61_319,1,0,1,direct+friendly+proportionate
74_179,1,1,-1,direct+friendly+hyperbolic
57_329,-1,0,1,ironic+friendly+proportionate
64_177,1,0,1,direct+friendly+proportionate
74_250,1,-1,1,direct+hostile+proportionate
77_128,1,1,1,direct+friendly+proportionate
79_259,1,0,1,direct+friendly+proportionate
64_373,1,1,1,direct+friendly+proportionate
69_320,1,0,1,direct+friendly+proportionate
59_90,1,0,1,direct+friendly+proportionate
71_226,1,1,1,direct+friendly+proportionate
59_48,-1,0,-1,ironic+friendly+hyperbolic
78_286,-1,0,-1,ironic+friendly+hyperbolic
80_48,1,1,1,direct+friendly+proportionate
76_225,1,0,1,direct+friendly+proportionate
61_14,-1,0,1,ironic+friendly+proportionate
54_79,1,1,-1,direct+friendly+hyperbolic
71_73,1,0,-1,direct+friendly+hyperbolic
