feature,n,valence_r,valence_p,arousal_r,arousal_p,dominance_r,dominance_p
f0_mean,640,0.03468545873100413,0.3810144592042945,0.015625320614657344,0.6931793348856418,-0.0034813739524092897,0.9299556292874808
f0_std,640,-0.046512126126139704,0.2399908024981752,-0.0006300912746578945,0.9873069669133321,-0.07631206585398838,0.053656426643419054
f0_range,640,-0.06384461299017707,0.10660461495153635,-0.011743561022340868,0.7668324976612966,-0.08055186539489384,0.04163536468884189
jitter_local,640,-0.008525675113034599,0.8295593981575037,-0.04028677129564526,0.30886598633071494,-0.06412536873859512,0.10507023004811178
shimmer_local,640,-0.03402179041263522,0.3901987459264756,0.0039592363973118255,0.9203711388023001,-0.06832941680771067,0.08412231075465633
hnr_mean,640,-0.011730559543403237,0.7670831930981977,0.024867857129273897,0.5300171540259669,0.07859510174171556,0.04686650675546698
voiced_ratio,640,-0.014001655326405425,0.7236822577311887,0.04230528652890143,0.2852342855357784,0.07774270174650943,0.049312085771068576
speaking_rate_proxy,640,0.053613678010366275,0.1755279378951651,-0.008832412971172729,0.8235262601270862,0.049261027878876436,0.21330242321170226
energy_std,640,-0.09725963532721707,0.013834819585927272,0.021901559802658746,0.5802266370879472,-0.07626239831635447,0.05381280111137421
dissonance_mean,640,-0.04648562150782438,0.24025907368713445,-0.02829679512335463,0.4748548452257666,-0.05337465855574236,0.17746364995392488
dissonance_std,640,-0.060662456613337905,0.12526001745360513,-0.02734766420768339,0.4898018900152737,-0.061583626778114055,0.11961583509490228
inharmonicity_mean,640,-0.0522837242028805,0.1865003177692081,-0.020609448112141035,0.6027719789465988,-0.07832790412220492,0.047621912721838904
inharmonicity_std,640,-0.029084309611598587,0.46264508342134175,0.010653621449555482,0.7879308896574796,-0.03813436918304466,0.3354490996321834
major_fit,640,-0.04921614651281725,0.2137202642773574,-0.04647919362695745,0.24032416637434453,-0.059334854624874395,0.13375611219234165
minor_fit,640,-0.025018963505110466,0.527519625778292,-0.08932949730460836,0.02382253893102209,-0.04734566035844098,0.23166131109946644
wholetone_fit,640,0.013040709523437215,0.7419472128692148,0.021266696068975598,0.5912547847166253,0.033664418178223854,0.3951994353640439
majorness,640,-4.5776542858939405e-07,0.9999907780404372,0.05401380719068686,0.17232270911680092,-0.0030702091385589347,0.9382105373176128
tonal_clarity,640,0.03226165945143757,0.4151987100410305,-0.019237959889947143,0.6271233619841076,0.02707301945145125,0.49417368117474253
melodic_path_length,640,-0.025587576832232783,0.5181753890763372,0.050313482940526406,0.20367225412697906,0.024997488585009255,0.5278742038835587
direction_change_rate,640,-0.041325541117523276,0.2965479062670572,0.0023439615384215507,0.9528069726093756,0.03483398575989325,0.3789773221842132
contour_slope,640,-0.015553885067796144,0.6945114012525947,0.05627596967863822,0.15501873941968045,-0.01085297495619296,0.7840598009230119
final_initial_diff,640,-0.0066789349327478365,0.8660823740208629,-0.003286962035030171,0.9338579323763666,-0.021248024370707892,0.5915805789535646
mean_interval_size,428,-0.03204612889143126,0.5084799297354371,0.016846757391260993,0.7281903128065327,-0.004892463005009087,0.9196134425620672
interval_std,428,-0.001476729497100861,0.9756990069842542,-0.026046835259794534,0.5910076403866469,-0.007344745839588725,0.8795758269247569
num_notes_per_sec,428,-0.008806169317875095,0.8558541300981933,-0.026759378837560608,0.58089203734903,0.009649418995473221,0.8422239816684339
direction_entropy,428,-0.03188126445910397,0.5106646832002877,1.9392540787320984e-05,0.9996808280656868,-0.060489279948849534,0.21170309064077256
npvi_voiced,637,0.0015798193898547551,0.9682569217402031,-0.026675171666725412,0.501553039713127,0.019577085454425835,0.6218853398599642
rpvi_pause,638,0.02527197243394699,0.5240035722096693,-0.05294540000783956,0.1816655484325651,-0.064243263419403,0.10497652972617472
rpvi_pause_filtered,625,0.024486324088961797,0.5411835094035029,-0.05640274141583937,0.1590223991465911,-0.05130754857100714,0.20020604512458398
stress_contrast,640,-0.06489793124136127,0.10093819203339864,0.03303881046626201,0.40404603580813764,-0.025023626984999072,0.5274426418420328
ioi_cv,640,-0.10050153009248716,0.010959628614466132,-0.04781438104775618,0.22706838558436068,-0.1108823657788766,0.004980269549195238
ioi_npvi,640,-0.06065597923252337,0.1253004263604227,0.028491917652921944,0.47181328588965527,-0.03485862341409293,0.37864004975827253
pitch_stress_contrast,640,-0.03145173507863436,0.4270126412067638,0.00010331766550930785,0.9979186059149862,-0.03669295773141696,0.3540490708329109
